"ID del post","ID dell'account","Nome utente dell'account","Nome account",Descrizione,"Durata (s)","Orario di pubblicazione",Permalink,"Tipo di post","Commento sui dati",Data,Visualizzazioni,Copertura,"Mi piace",Condivisioni,"Visite al profilo",Risposte,Navigazione,"Clic sul link",Follower,"Tocchi sugli adesivi"
18226398385292809,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","@vgen_ig 
@bip.peopleitaly",0,"05/22/2025 04:49",https://www.instagram.com/stories/jemp_polimi/3638093736575033553,"Storia di Instagram",,Totale,329,317,1,0,2,0,375,,,14
17980771721701108,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","@polimiassociazioni  Oggi siamo al Campus Leonardo!",5,"05/20/2025 07:44",https://www.instagram.com/stories/jemp_polimi/3636732140135673417,"Storia di Instagram",,Totale,1456,1216,12,0,7,0,756,,,23
17923781583075048,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Si inizia con le foto ai soci",3,"05/20/2025 06:58",https://www.instagram.com/stories/jemp_polimi/3636709163184715540,"Storia di Instagram",,Totale,654,613,9,0,5,0,610,,1,
17904769440156941,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,6,"05/19/2025 00:08",https://www.instagram.com/stories/jemp_polimi/3635777952327973062,"Storia di Instagram",,Totale,523,509,0,0,,0,502,,,2
18340494043093527,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,0,"05/19/2025 00:08",https://www.instagram.com/stories/jemp_polimi/3635777759423535653,"Storia di Instagram",,Totale,555,535,1,0,3,0,623,,,5
18136133539370537,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",,9,"05/19/2025 00:07",https://www.instagram.com/stories/jemp_polimi/3635777445572310951,"Storia di Instagram",,Totale,605,576,5,0,,0,543,,,2
18063199564865317,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","* Noi ci saremo, e voi?",5,"04/29/2025 10:43",https://www.instagram.com/stories/jemp_polimi/3621601751138318874,"Storia di Instagram",,Totale,323,308,3,0,4,0,342,,,
18057454201914280,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","*. …inoltre, i JEMPer di oggi e gli Alumni hanno unito le forze in un team building sui temi della resilienza e dell’adattabilità",0,"04/14/2025 08:55",https://www.instagram.com/stories/jemp_polimi/3610675961387387382,"Storia di Instagram",,Totale,591,565,1,0,3,0,669,,,
18082859110729868,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","*. Sabato durante l’evento Alumni abbiamo avuto la fortuna di ascoltare i consigli e le esperienze portate dalla dottoressa @marymarketingirlie_ e dal professore Niccolò Brocchi …",0,"04/14/2025 08:51",https://www.instagram.com/stories/jemp_polimi/3610673838339786600,"Storia di Instagram",,Totale,644,600,7,0,2,0,642,,,24
17877165216200602,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","Nel pomeriggio ci sarà con noi un’ospite speciale…",39,"04/12/2025 06:03",https://www.instagram.com/stories/jemp_polimi/3609143644071115601,"Storia di Instagram",,Totale,474,431,4,0,3,0,543,,,118
18079407868678467,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",". Continuiamo con delle formazioni sui nostri strumenti principali… vediamo insieme Figma!",12,"04/12/2025 05:41",https://www.instagram.com/stories/jemp_polimi/3609128768518767972,"Storia di Instagram",,Totale,472,434,5,0,,0,539,,,
17927140428043735,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise",".  Oggi formazione su @je_italy alla T-Day con i nuovi soci in prova! Grazie @_luca.clay!",12,"04/12/2025 05:29",https://www.instagram.com/stories/jemp_polimi/3609122878893868755,"Storia di Instagram",,Totale,1055,972,5,0,1,0,537,,,62
17851090206431509,17841403367265426,jemp_polimi,"JEMP - Junior Enterprise","WORKSHOP
From Contrast 
to Identity:
Create your Logo  #MDW  @interdependence.polimi",7,"04/10/2025 07:39",https://www.instagram.com/stories/jemp_polimi/3607738767244794852,"Storia di Instagram",,Totale,707,635,6,0,2,0,391,,,2
